Dataset,Replica,RunTime,,,Dataset,Replica,RunTime
C4,10,5.6,,,Nursery,10,2.787
C4,9,5.265,,,Nursery,9,2.792
C4,8,5.43,,,Nursery,8,2.79
C4,7,5.299,,,Nursery,7,2.796
C4,6,4.945,,,Nursery,6,2.793
C4,5,4.632,,,Nursery,5,2.803
C4,4,4.714,,,Nursery,4,2.842
C4,3,4.249,,,Nursery,3,2.727
C4,2,4.545,,,Nursery,2,2.801
C4,1,4.392,,,Nursery,1,2.798
LR,30,4.311,0.355658916,,Dataset,Replica,RunTime
LR,29,4.017,,,LR,30,3.104
LR,28,4.562,,,LR,29,2.441
LR,27,4.808,,,LR,28,2.953
LR,26,5.208,,,Dataset,Replica,RunTime
LR,25,4.216,,,LR,26,2.506
LR,24,4.325,,,LR,25,2.916
LR,23,4.485,,,LR,24,2.539
LR,22,4.756,,,LR,23,2.777
LR,21,4.377,,,,,
LR,20,4.361,,,,,
LR,19,4.088,,,,,
LR,18,5.053,,,,,
LR,17,4.889,,,,,
LR,16,4.998,,,,,
LR,15,4.558,,,,,
LR,14,4.235,,,,,
LR,13,4.308,,,,,
LR,12,4.861,,,,,
LR,11,4.937,,,,,
LR,10,4.108,,,,,
LR,9,4.002,,,,,
LR,8,4.873,,,,,
LR,7,4.336,,,,,
LR,6,4.448,,,,,
LR,5,4.183,,,,,
LR,4,5.154,,,,,
LR,3,4.516,,,,,
LR,2,4.678,,,,,
LR,1,4.089,,,,,
Dataset,Replica,RunTime,,,,,
adult,26,9.262,8.97,0.452005577,5.04,14.01,
adult,25,8.75,,,,,
adult,24,8.346,,,,,
adult,23,8.978,,,,,
adult,22,9.287,,,,,
adult,21,9.444,,,,,
adult,20,8.921,,,,,
adult,19,9.093,,,,,
adult,18,8.741,,,,,
adult,17,8.851,,,,,
adult,16,8.841,,,,,
adult,15,10.89,,,,,
adult,14,8.92,,,,,
adult,13,8.936,,,,,
adult,12,8.634,,,,,
adult,11,8.929,,,,,
adult,10,8.986,,,,,
adult,9,8.693,,,,,
adult,8,8.802,,,,,
adult,7,8.997,,,,,
adult,6,8.88,,,,,
adult,5,9.084,,,,,
adult,4,8.636,,,,,
adult,3,8.833,,,,,
adult,2,8.792,,,,,
adult,1,8.715,,,,,
Diabetes,26,11.903,10.98,0.399519506,7.51,18.49,
Diabetes,25,11.303,,,,,
Diabetes,24,11.267,,,,,
Diabetes,23,11.002,,,,,
Diabetes,22,11.041,,,,,
Diabetes,21,11.417,,,,,
Diabetes,20,11.207,,,,,
Diabetes,19,10.56,,,,,
Diabetes,18,10.708,,,,,
Diabetes,17,10.609,,,,,
Diabetes,16,10.731,,,,,
Diabetes,15,10.741,,,,,
Diabetes,14,10.777,,,,,
Diabetes,13,10.76,,,,,
Diabetes,12,10.862,,,,,
Diabetes,11,10.563,,,,,
Diabetes,10,10.968,,,,,
Diabetes,9,10.273,,,,,
Diabetes,8,10.692,,,,,
Diabetes,7,11.187,,,,,
Diabetes,6,10.763,,,,,
Diabetes,5,10.879,,,,,
Diabetes,4,10.661,,,,,
Diabetes,3,11.493,,,,,
Diabetes,2,11.511,,,,,
Diabetes,1,11.749,,,,,
Poker,26,4.772,4.73,0.229256635,1.38,6.11,
Poker,25,5.078,,,,,
Poker,24,4.64,,,,,
Poker,23,4.746,,,,,
Poker,22,4.624,,,,,
Poker,21,5.394,,,,,
Poker,20,4.664,,,,,
Poker,19,4.533,,,,,
Poker,18,4.541,,,,,
Poker,17,4.541,,,,,
Poker,16,4.684,,,,,
Poker,15,5.145,,,,,
Poker,14,4.691,,,,,
Poker,13,4.63,,,,,
Poker,12,5.088,,,,,
Poker,11,4.453,,,,,
Poker,10,4.526,,,,,
Poker,9,4.516,,,,,
Poker,8,4.901,,,,,
Poker,7,4.778,,,,,
Poker,6,4.562,,,,,
Poker,5,4.517,,,,,
Poker,4,4.669,,,,,
Poker,3,4.706,,,,,
Poker,2,4.789,,,,,
Poker,1,4.889,,,,,
Nursery,26,4.015,3.9,0.115976311,0.58,4.48,
Nursery,25,3.871,,,,,
Nursery,24,3.744,,,,,
Nursery,23,3.905,,,,,
Nursery,22,3.995,,,,,
Nursery,21,3.829,,,,,
Nursery,20,3.812,,,,,
Nursery,19,3.871,,,,,
Nursery,18,3.962,,,,,
Nursery,17,3.895,,,,,
Nursery,16,4.009,,,,,
Nursery,15,3.973,,,,,
Nursery,14,3.883,,,,,
Nursery,13,3.931,,,,,
Nursery,12,3.945,,,,,
Nursery,11,3.84,,,,,
Nursery,10,3.778,,,,,
Nursery,9,3.829,,,,,
Nursery,8,3.885,,,,,
Nursery,7,3.756,,,,,
Nursery,6,3.899,,,,,
Nursery,5,3.939,,,,,
Nursery,4,4.345,,,,,
Nursery,3,3.83,,,,,
Nursery,2,3.951,,,,,
Nursery,1,3.936,,,,,
C4,30,5.32,5.76,0.221637347,1.61,7.37,
C4,29,5.469,,,,,
C4,28,5.777,,,,,
C4,27,5.732,,,,,
C4,26,6.286,,7.63,,,
C4,25,5.769,,,,,
C4,24,5.721,,,,,
C4,23,5.894,,,,,
C4,22,5.912,,,,,
C4,21,6.027,,,,,
C4,20,5.736,,,,,
C4,19,6.027,,,,,
C4,18,6.025,,,,,
C4,17,6.083,,,,,
C4,16,5.933,,,,,
C4,15,5.579,,,,,
C4,14,5.412,,,,,
C4,13,5.6,,,,,
C4,12,5.636,,,,,
C4,11,5.35,,,,,
C4,10,5.898,,,,,
C4,9,5.85,,,,,
C4,8,5.592,,,,,
C4,7,5.651,,,,,
C4,6,5.964,,,,,
C4,5,5.703,,,,,
C4,4,5.814,,,,,
C4,3,5.794,,,,,
C4,2,5.728,,,,,
C4,1,5.779,,,,,
LR,30,7.189,7.332766667,0.887056569,4.4,11.73276667,
LR,29,7.045,,,,,
LR,28,7.018,,,,,
LR,27,10.122,,,,,
LR,26,7.344,,,,,
LR,25,7.656,,,,,
LR,24,7.316,,,,,
LR,23,9.354,,,,,
LR,22,7.144,,,,,
LR,21,6.765,,,,,
LR,20,9.56,,,,,
LR,19,6.323,,,,,
LR,18,7.124,,,,,
LR,17,6.55,,,,,
LR,16,6.78,,,,,
LR,15,7.354,,,,,
LR,14,7.354,,,,,
LR,13,6.765,,,,,
LR,12,6.765,,,,,
LR,11,7.45,,,,,
LR,10,7.018,,,,,
LR,9,7.018,,,,,
LR,8,6.765,,,,,
LR,7,7.018,,,,,
LR,6,7.34,,,,,
LR,5,6.215,,,,,
LR,4,7.321,,,,,
