treeID	avgBetweenness	avgClusteringCoeff	avgInDegree	avgOutDegree	diameter	edgeCount	meanDistance	medianDegree	triad1	triad10	triad11	triad12	triad13	triad14	triad15	triad16	triad2	triad3	triad4	triad5	triad6	triad7	triad8	triad9	vertexCount	label
872	8.925925925925924	0.7555555555555555	2.6666666666666665	2.6666666666666665	0.7	43.0	0.5563531240001828	6.0	5.0	5.0	0.0	4.0	1.0	3.0	2.0	0.0	27.0	4.0	3.0	7.0	13.0	3.0	2.0	5.0	9.0	10.0
873	14.106060606060606	0.6902597402597402	2.6363636363636362	2.6363636363636362	0.6	43.0	0.5081686806954187	6.0	30.0	3.0	0.0	2.0	0.0	4.0	2.0	1.0	56.0	9.0	5.0	8.0	23.0	10.0	4.0	8.0	11.0	10.0
874	15.555555555555555	0.4962962962962963	1.8888888888888888	1.8888888888888888	0.6363636363636364	34.0	0.44283738116458704	3.0	12.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	41.0	4.0	2.0	2.0	11.0	4.0	2.0	3.0	9.0	10.0
875	13.934615384615382	0.7158119658119658	3.6923076923076925	3.6923076923076925	0.6470588235294118	78.0	0.548613308899402	8.0	36.0	7.0	1.0	8.0	4.0	9.0	12.0	0.0	94.0	26.0	7.0	14.0	33.0	14.0	12.0	9.0	13.0	10.0
876	9.606666666666666	0.6595238095238096	3.0	3.0	0.8	46.0	0.5754884004884004	6.5	12.0	1.0	2.0	3.0	4.0	4.0	4.0	0.0	35.0	9.0	2.0	5.0	19.0	9.0	7.0	4.0	10.0	10.0
877	8.816666666666666	0.6271428571428572	2.9	2.9	0.7777777777777777	46.0	0.5672299922299922	6.0	11.0	3.0	0.0	4.0	1.0	3.0	4.0	1.0	42.0	8.0	3.0	4.0	15.0	10.0	3.0	8.0	10.0	10.0
878	10.907407407407407	0.6185185185185185	2.2222222222222223	2.2222222222222223	0.7	34.0	0.5245621752974695	5.0	11.0	2.0	0.0	1.0	1.0	2.0	0.0	0.0	28.0	2.0	3.0	5.0	17.0	5.0	3.0	4.0	9.0	10.0
879	14.129629629629628	0.6962962962962963	2.5555555555555554	2.5555555555555554	0.7	34.0	0.5169278252611585	6.0	8.0	2.0	0.0	2.0	0.0	1.0	2.0	0.0	23.0	5.0	5.0	4.0	14.0	7.0	2.0	9.0	9.0	10.0
880	10.066666666666666	0.5257142857142857	2.8	2.8	0.7	46.0	0.5658158508158508	5.0	9.0	2.0	0.0	3.0	0.0	3.0	3.0	0.0	44.0	6.0	4.0	7.0	16.0	11.0	3.0	9.0	10.0	10.0
881	10.233333333333333	0.5752380952380953	3.1	3.1	0.7777777777777777	58.0	0.5916996891996892	6.5	12.0	1.0	2.0	5.0	2.0	1.0	5.0	3.0	37.0	17.0	3.0	1.0	10.0	13.0	3.0	5.0	10.0	10.0
882	9.925	0.5757142857142857	2.7	2.7	0.6363636363636364	43.0	0.5604749417249417	6.0	15.0	4.0	0.0	3.0	1.0	3.0	4.0	0.0	39.0	7.0	4.0	9.0	16.0	8.0	2.0	5.0	10.0	10.0
883	17.848484848484848	0.6506493506493507	2.4545454545454546	2.4545454545454546	0.6	43.0	0.46087320123881387	6.0	28.0	3.0	0.0	2.0	2.0	3.0	0.0	0.0	63.0	5.0	6.0	8.0	30.0	5.0	1.0	9.0	11.0	10.0
884	9.0	0.4958333333333333	1.75	1.75	0.6666666666666666	34.0	0.5468975468975469	3.5	6.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	25.0	2.0	1.0	3.0	11.0	2.0	1.0	3.0	8.0	10.0
885	13.825992063492064	0.629431216931217	3.0833333333333335	3.0833333333333335	0.6666666666666666	58.0	0.5360976191900609	6.5	36.0	6.0	0.0	4.0	1.0	11.0	1.0	0.0	65.0	8.0	10.0	17.0	35.0	6.0	8.0	12.0	12.0	10.0
886	12.472222222222221	0.3037037037037037	2.111111111111111	2.111111111111111	0.6363636363636364	34.0	0.48994355317884725	5.0	14.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	22.0	5.0	5.0	9.0	18.0	5.0	0.0	1.0	9.0	10.0
887	7.1916666666666655	0.40095238095238095	2.8	2.8	0.75	43.0	0.6119138755980862	5.5	14.0	2.0	2.0	2.0	0.0	3.0	2.0	2.0	36.0	14.0	4.0	6.0	15.0	11.0	4.0	3.0	10.0	10.0
888	5.944444444444445	0.4629629629629629	1.6666666666666667	1.6666666666666667	1.0	34.0	0.6730462519936204	4.0	15.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	42.0	3.0	2.0	2.0	12.0	3.0	0.0	4.0	9.0	10.0
889	8.407575757575756	0.6891774891774892	3.3636363636363638	3.3636363636363638	0.875	58.0	0.6334977549898498	7.0	18.0	2.0	3.0	5.0	3.0	5.0	7.0	1.0	46.0	16.0	7.0	5.0	21.0	17.0	3.0	6.0	11.0	10.0
890	13.875	0.5249999999999999	1.75	1.75	0.6666666666666666	25.0	0.4785346232714654	3.0	8.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	22.0	1.0	1.0	4.0	12.0	0.0	3.0	2.0	8.0	10.0
891	4.768518518518519	0.6248677248677248	3.111111111111111	3.111111111111111	0.8333333333333334	46.0	0.7198412698412697	7.0	5.0	0.0	1.0	2.0	1.0	3.0	8.0	2.0	21.0	15.0	1.0	2.0	10.0	11.0	0.0	2.0	9.0	10.0
892	10.6875	0.525	2.0	2.0	0.6666666666666666	25.0	0.5315746753246753	4.5	8.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	16.0	2.0	3.0	4.0	10.0	3.0	4.0	1.0	8.0	10.0
893	5.010416666666667	0.875	3.25	3.25	0.75	34.0	0.6895833333333333	6.5	1.0	4.0	0.0	3.0	2.0	6.0	4.0	1.0	6.0	5.0	1.0	4.0	9.0	3.0	0.0	7.0	8.0	10.0
894	4.625	0.4375	2.0	2.0	1.0	34.0	0.7215136054421769	4.0	5.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	21.0	4.0	2.0	3.0	11.0	3.0	0.0	3.0	8.0	10.0
895	10.666666666666664	0.44333333333333336	2.7	2.7	0.7	43.0	0.5518206355048461	5.5	14.0	0.0	1.0	3.0	0.0	6.0	3.0	1.0	39.0	13.0	4.0	7.0	19.0	5.0	2.0	3.0	10.0	10.0
896	9.25925925925926	0.6195767195767196	2.6666666666666665	2.6666666666666665	0.75	34.0	0.5710780504898152	5.0	8.0	2.0	0.0	5.0	1.0	3.0	2.0	1.0	26.0	3.0	3.0	8.0	10.0	9.0	0.0	3.0	9.0	10.0
