cube0_cluster0	['cube1_cluster0', 'cube2_cluster0', 'cube6_cluster1', 'cube7_cluster1', 'cube8_cluster0', 'cube8_cluster1', 'cube12_cluster0', 'cube13_cluster0', 'cube14_cluster0', 'cube14_cluster1']
cube0_cluster1	['cube1_cluster0', 'cube1_cluster1', 'cube2_cluster0', 'cube6_cluster1', 'cube7_cluster1', 'cube8_cluster0']
cube1_cluster0	['cube2_cluster0', 'cube6_cluster1', 'cube7_cluster1', 'cube8_cluster0', 'cube8_cluster1', 'cube12_cluster0', 'cube13_cluster0', 'cube14_cluster0', 'cube14_cluster1']
cube1_cluster1	['cube2_cluster0', 'cube2_cluster1', 'cube3_cluster0', 'cube6_cluster1', 'cube7_cluster0', 'cube7_cluster1', 'cube8_cluster0', 'cube8_cluster1', 'cube9_cluster1', 'cube13_cluster1', 'cube14_cluster0', 'cube14_cluster1', 'cube15_cluster0']
cube2_cluster0	['cube3_cluster0', 'cube6_cluster1', 'cube7_cluster1', 'cube8_cluster0', 'cube8_cluster1', 'cube9_cluster1', 'cube12_cluster0', 'cube13_cluster0', 'cube13_cluster1', 'cube14_cluster0', 'cube14_cluster1', 'cube15_cluster0']
cube2_cluster1	['cube3_cluster0', 'cube4_cluster0', 'cube7_cluster0', 'cube8_cluster0', 'cube8_cluster1', 'cube9_cluster0', 'cube9_cluster1', 'cube10_cluster1', 'cube13_cluster1', 'cube14_cluster0', 'cube14_cluster1', 'cube15_cluster0', 'cube16_cluster0']
cube3_cluster0	['cube4_cluster0', 'cube5_cluster1', 'cube7_cluster0', 'cube7_cluster1', 'cube8_cluster0', 'cube8_cluster1', 'cube9_cluster0', 'cube9_cluster1', 'cube10_cluster0', 'cube10_cluster1', 'cube11_cluster1', 'cube13_cluster1', 'cube14_cluster0', 'cube14_cluster1', 'cube15_cluster0', 'cube15_cluster1', 'cube16_cluster0', 'cube16_cluster1', 'cube17_cluster0', 'cube17_cluster1']
cube3_cluster1	['cube4_cluster0', 'cube4_cluster1', 'cube5_cluster0', 'cube5_cluster1', 'cube9_cluster0', 'cube10_cluster0', 'cube10_cluster1', 'cube11_cluster0']
cube4_cluster0	['cube5_cluster1', 'cube8_cluster0', 'cube9_cluster0', 'cube9_cluster1', 'cube10_cluster0', 'cube10_cluster1', 'cube11_cluster1', 'cube14_cluster0', 'cube15_cluster0', 'cube15_cluster1', 'cube16_cluster0', 'cube16_cluster1', 'cube17_cluster0', 'cube17_cluster1']
cube4_cluster1	['cube5_cluster0', 'cube5_cluster1', 'cube9_cluster0', 'cube10_cluster0', 'cube11_cluster0']
